,Zip Code,Year,Median Income (dollars)
429,75117,2012,41086.666666666664
430,75117,2013,40903.875
431,75117,2014,40773.83333333333
432,75117,2015,39906.125
433,75117,2016,41269.75
434,75119,2011,45657.0
435,75119,2012,46014.5
436,75119,2013,45499.625
437,75119,2014,44804.75
438,75119,2015,44359.458333333336
439,75119,2016,45435.041666666664
440,75124,2011,49212.0
441,75124,2012,49027.291666666664
442,75124,2013,48128.375
443,75124,2014,45104.208333333336
444,75124,2015,44989.083333333336
445,75124,2016,48424.291666666664
446,75125,2011,48504.0
447,75125,2012,48270.0
448,75125,2013,46611.125
449,75125,2014,42642.83333333333
450,75125,2015,40351.58333333333
451,75125,2016,44515.458333333336
452,75126,2011,85321.0
453,75126,2012,86161.125
454,75126,2013,86224.70833333333
455,75126,2014,84527.04166666667
456,75126,2015,81983.16666666667
457,75126,2016,81639.29166666667
458,75127,2011,39183.0
459,75127,2012,39379.08333333333
460,75127,2013,42959.125
461,75127,2014,44982.416666666664
462,75127,2015,46416.666666666664
463,75127,2016,46715.458333333336
464,75132,2011,84556.0
465,75132,2012,85187.04166666667
466,75132,2013,74802.08333333334
467,75132,2014,65300.291666666664
468,75132,2015,62277.583333333336
469,75132,2016,60999.458333333336
470,75134,2011,48460.0
471,75134,2012,48033.166666666664
472,75134,2013,47292.291666666664
473,75134,2014,45770.125
474,75134,2015,46127.125
475,75134,2016,48518.583333333336
476,75135,2011,61489.0
477,75135,2012,59463.708333333336
478,75135,2013,60485.416666666664
479,75135,2014,59161.083333333336
480,75135,2015,59093.125
481,75135,2016,64814.625
482,75137,2011,59398.0
483,75137,2012,59494.958333333336
484,75137,2013,59207.583333333336
485,75137,2014,58462.208333333336
486,75137,2015,57387.5
487,75137,2016,56676.416666666664
488,75140,2011,41209.0
489,75140,2012,42204.58333333333
490,75140,2013,41998.33333333333
491,75140,2014,41451.166666666664
492,75140,2015,41843.0
493,75140,2016,41315.666666666664
494,75141,2011,34856.0
495,75141,2012,35169.625
496,75141,2013,35083.458333333336
497,75141,2014,36208.416666666664
498,75141,2015,37155.791666666664
499,75141,2016,37747.166666666664
500,75142,2011,53503.0
501,75142,2012,53911.958333333336
502,75142,2013,54014.791666666664
503,75142,2014,52475.958333333336
504,75142,2015,52016.958333333336
505,75142,2016,52513.125
506,75143,2011,41695.0
507,75143,2012,42241.541666666664
508,75143,2013,41312.45833333333
509,75143,2014,40841.875
510,75143,2015,41389.08333333333
511,75143,2016,41971.08333333333
512,75144,2011,31731.0
513,75144,2012,32598.75
514,75144,2013,32767.5
515,75144,2014,33647.5
516,75144,2015,33861.541666666664
517,75144,2016,33932.875
518,75146,2011,57500.0
519,75146,2012,57911.125
520,75146,2013,58792.541666666664
521,75146,2014,58135.208333333336
522,75146,2015,56244.208333333336
523,75146,2016,55580.458333333336
524,75147,2011,48594.0
525,75147,2012,46246.416666666664
526,75147,2013,44783.791666666664
527,75147,2014,43676.75
528,75147,2015,41338.0
529,75147,2016,42068.0
530,75148,2011,34594.0
531,75148,2012,34423.916666666664
532,75148,2013,34264.833333333336
533,75148,2014,34491.958333333336
534,75148,2015,33963.75
535,75148,2016,32942.0
536,75149,2011,48758.0
537,75149,2012,48333.333333333336
538,75149,2013,47846.708333333336
539,75149,2014,46895.625
540,75149,2015,45365.708333333336
541,75149,2016,45159.25
542,75150,2011,46788.0
543,75150,2012,46496.583333333336
544,75150,2013,46114.041666666664
545,75150,2014,45814.291666666664
546,75150,2015,45594.625
547,75150,2016,46247.333333333336
548,75152,2011,52468.0
549,75152,2012,52593.125
550,75152,2013,53760.666666666664
551,75152,2014,53699.166666666664
552,75152,2015,53573.833333333336
553,75152,2016,53624.708333333336
554,75153,2011,48500.0
555,75153,2012,45419.541666666664
556,75153,2013,40580.791666666664
557,75153,2014,39161.625
558,75153,2015,37145.875
559,75153,2016,36037.291666666664
560,75154,2011,69486.0
561,75154,2012,67274.91666666667
562,75154,2013,65814.58333333333
563,75154,2014,68425.08333333333
564,75154,2015,70903.33333333333
565,75154,2016,71325.29166666667
566,75155,2011,39974.0
567,75155,2012,40163.58333333333
568,75155,2013,38726.625
569,75155,2014,37920.45833333333
570,75155,2015,39258.416666666664
571,75155,2016,42883.291666666664
572,75156,2011,36952.0
573,75156,2012,37000.75
574,75156,2013,37134.08333333333
575,75156,2014,37706.541666666664
576,75156,2015,39744.58333333333
577,75156,2016,43813.583333333336
578,75157,2011,50417.0
579,75157,2012,48159.875
580,75157,2013,43429.0
581,75157,2014,44765.958333333336
582,75157,2015,43918.958333333336
583,75157,2016,38891.5
584,75158,2011,60958.0
585,75158,2012,57481.041666666664
586,75158,2013,56666.125
587,75158,2014,58916.125
588,75158,2015,59610.083333333336
589,75158,2016,57050.75
590,75159,2011,46049.0
591,75159,2012,46879.916666666664
592,75159,2013,46443.333333333336
593,75159,2014,46109.5
594,75159,2015,46205.333333333336
595,75159,2016,47105.208333333336
596,75160,2011,44074.0
